table,column,type,description,blank_cells
field_annotations.csv,submission_number,string,Stable FDA submission-level authorization identifier; PMA supplement slashes are retained.,0
field_annotations.csv,field,categorical,"One of input, output, user, setting, action, component_status.",0
field_annotations.csv,baseline_codes,semicolon-delimited code set,Unmodified baseline field labels in their retained order.,0
field_annotations.csv,codes,semicolon-delimited code set,"Current versioned field labels; first five fields are nonexclusive, component_status is single-valued.",0
field_annotations.csv,annotation_state,categorical,"CODED for positive content/function grouping; otherwise NOT_STATED, NOT_ASSESSABLE or UNCERTAIN.",0
field_annotations.csv,source_limited,boolean,"true for NOT_STATED, NOT_ASSESSABLE or UNCERTAIN; false for CODED.",0
field_annotations.csv,limitation_layer,categorical,"NONE, AI_ATTRIBUTION_BARRIER, SOURCE_INSUFFICIENT, FIELD_NOT_STATED or FUNCTION_GROUP_UNRESOLVED. Upstream barriers propagate across the six fields.",0
other_label_notes.csv,annotation_id,string,Primary field key: submission_number followed by a colon and one of the six field names.,0
other_label_notes.csv,field,categorical,"One of input, output, user, setting, action, component_status.",0
other_label_notes.csv,codes,semicolon-delimited code set,"Current versioned field labels; first five fields are nonexclusive, component_status is single-valued.",0
other_label_notes.csv,other_note_en,string or blank,Retained English/Latin note or English translation for the OTHER membership. Blank where the multi-label field reason did not isolate an OTHER meaning.,583
other_label_notes.csv,other_note_status,categorical,"SINGLE_OTHER_EXISTING_FIELD_REASON, EXPLICIT_OTHER_ASSIGNMENT_IN_RETAINED_REASON, or MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED; a documentation status, not an annotation-state change.",0
other_label_notes.csv,note_original_language,categorical or blank,en_or_latin or zh for the extracted original fragment; blank when no OTHER-specific fragment was isolated.,583
other_label_notes.csv,note_processing,categorical,"RETAINED_ENGLISH_OR_LATIN_TEXT, AI_ASSISTED_ENGLISH_TRANSLATION, or NO_OTHER_SPECIFIC_NOTE_ADDED.",0
other_label_notes.csv,note_original_sha256,SHA-256 or blank,Hash of the exact retained UTF-8 note fragment before translation; blank for unseparated multi-label contexts.,583
other_label_notes.csv,retained_field_record_number,integer,One-based CSV record position after the header in the fingerprinted original field ledger; embedded newlines do not start new records.,0
other_label_notes.csv,retained_input_sha256,SHA-256,Fingerprint of the historical field ledger containing the note; shared with the initial input-provenance record.,0
other_label_notes.csv,retained_source_column,string,"decision_reason, the original field-ledger column from which the existing note was extracted.",0
positive_labels.csv,annotation_id,string,Primary field key: submission_number followed by a colon and one of the six field names.,0
positive_labels.csv,submission_number,string,Stable FDA submission-level authorization identifier; PMA supplement slashes are retained.,0
positive_labels.csv,field,categorical,"One of input, output, user, setting, action, component_status.",0
positive_labels.csv,label,categorical,One positive content label; limitation codes and component_status are excluded from this long table.,0
regulatory_identifier_aliases.csv,submission_number,string,Stable FDA submission-level authorization identifier; PMA supplement slashes are retained.,0
regulatory_identifier_aliases.csv,alternate_regulatory_identifier,string,Different FDA identifier officially linked to the same subject authorization; not a new device or semantic recoding.,0
regulatory_identifier_aliases.csv,identity_source_url,URL,FDA database page explicitly identifying the regulatory alias.,0
regulatory_identifier_aliases.csv,identity_source_access_date,date,Date the public identity linkage was checked.,0
regulatory_identifier_aliases.csv,identity_basis,string,Concise factual identity-linkage statement; no source quotation is republished.,0
semantic_review_records.csv,review_record_id,string,Unique versioned semantic-review record identifier; one row for each of the 12 targeted authorization-field positions.,0
semantic_review_records.csv,annotation_id,string,Primary field key: submission_number followed by a colon and one of the six field names.,0
semantic_review_records.csv,review_version,string,Identifier of the supplied confirmation package; distinct from the public release version.,0
semantic_review_records.csv,review_date,date,Author-supplied confirmation date in YYYY-MM-DD form; not an individual reading or signing timestamp.,0
semantic_review_records.csv,confirmation_basis_id,string,Identifier of the author-provided statement reporting expert confirmation of the supplied draft.,0
semantic_review_records.csv,review_date_basis,categorical,AUTHOR_SUPPLIED_CONFIRMATION_DATE; no individual reading or signing timestamp is inferred.,0
semantic_review_records.csv,review_status,categorical,AUTHOR_REPORTED_EXPERT_CONFIRMATION; records a confirmed coding decision without claiming an independent dual-review design.,0
semantic_review_records.csv,pre_review_codes,semicolon-delimited code set,Targeted field labels before this confirmed amendment; prior source corrections elsewhere remain independently versioned.,0
semantic_review_records.csv,post_review_codes,semicolon-delimited code set,"Targeted field labels after the confirmed decision, equal to the current field-annotation values.",0
semantic_review_records.csv,pre_review_scope,categorical,Target authorization scope before the confirmed decision.,0
semantic_review_records.csv,post_review_scope,categorical,"Target authorization scope after the confirmed decision, equal to the current authorization-table value.",0
semantic_review_records.csv,codes_amended,boolean,true if the field label set changed in this targeted review; false if confirmed without a code amendment. A source-review record can exist in either case.,0
semantic_review_records.csv,review_source_ids,semicolon-delimited identifiers,One or more keys in semantic_review_sources.review_source_id; split before joining.,0
semantic_review_records.csv,review_locator,string,English page/table references from the confirmed review; these are not newly verified normalized character spans.,0
semantic_review_records.csv,public_reason,string,"English summary of the confirmed semantic coding basis, projected from the fingerprinted scientific review records distributed in the source archives.",0
semantic_review_records.csv,new_locator_check_status,categorical,PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS. Existing evidence_links machine-anchor states remain a separate historical check.,0
semantic_review_sources.csv,review_source_id,string,Unique versioned key for one of six source references retained in the targeted-review log; one is context-only and has no field link.,0
semantic_review_sources.csv,review_date,date,Author-supplied confirmation date in YYYY-MM-DD form; not an individual reading or signing timestamp.,0
semantic_review_sources.csv,source_document_submission_number,string,"FDA identifier of the referenced document, which may be a comparison subject or an earlier product version.",0
semantic_review_sources.csv,source_url,URL,Retained FDA-hosted source URL; URL existence is not contemporaneous retrieval or subject-specific relevance validation.,0
semantic_review_sources.csv,physical_pages_reviewed,semicolon-delimited positive integers,One-based physical PDF page range identified in the supplied review log; the recorded access note distinguishes readable text from image inspection.,0
semantic_review_sources.csv,review_source_role,categorical,"TARGET_SUBJECT_SUMMARY, COMPARISON_SUBJECT_SUMMARY, RELATED_VERSION_CONTEXT, or REVIEW_LOG_CONTEXT_NOT_FIELD_CITED.",0
semantic_review_sources.csv,existing_source_record_ids,semicolon-delimited identifiers or blank,Matching entries in the retained source-capture manifest. Blank for review references not present there; it does not create a new source-capture claim.,2
semantic_review_sources.csv,review_document_sha256,SHA-256 or blank,SHA-256 of PDF bytes supplied with the September 8 confirmation inputs; blank for all six historical review references. Subsequent release-stage captures are recorded separately in the source-material manifest.,6
semantic_review_sources.csv,retained_text_sha256,SHA-256 or blank,"Hash of an actually supplied retained text cache, verified to match the existing source text artifact. Blank where no review text cache was supplied.",3
semantic_review_sources.csv,review_material_status,categorical,RETAINED_TEXT_AND_REPORTED_SOURCE_INSPECTION or URL_AND_REPORTED_SOURCE_INSPECTION; both retain the source-access boundary in source_access_note.,0
semantic_review_sources.csv,reported_source_access_date,date,Source access date reported in the supplied review log; integration does not itself perform new retrieval.,0
semantic_review_sources.csv,source_access_note,string,"English description of reported text/image access and archival limitations, including failed image captures where relevant.",0
source_bridges.csv,bridge_id,string,"Unique subject/field/purpose/source/page/span anchor key, derived deterministically from these values and the normalized quotation hash.",0
source_bridges.csv,annotation_id,string,Primary field key: submission_number followed by a colon and one of the six field names.,0
source_bridges.csv,subject_submission_number,string,Authorization under which this source was indexed; not necessarily an identifier written in the source URL.,0
source_bridges.csv,anchor_document_submission_number,string,FDA identifier of the document containing the bridge passage; may be an intermediate authorization.,0
source_bridges.csv,anchor_purpose,categorical,"SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE, INTERMEDIATE_SOURCE_CHAIN_BRIDGE, or SUBJECT_SOURCE_ADDITIONAL_DETAIL. A bridge is not an equivalent replacement for the original detail quotation.",0
source_bridges.csv,source_url,URL,Retained FDA-hosted source URL; URL existence is not contemporaneous retrieval or subject-specific relevance validation.,0
source_bridges.csv,source_record_ids,semicolon-delimited identifiers,One or more matching source-capture record IDs; candidate linkage retains URL/source ambiguity rather than inventing a unique document.,0
source_bridges.csv,document_sha256,SHA-256 or blank,"SHA-256 of the archived source document recorded in the legacy manifest; blank means unavailable, not an empty-document hash.",0
source_bridges.csv,text_sha256,SHA-256 or blank,"Source-record table: actual text hash recorded in legacy manifest. Evidence table: SHA-256 computed from the stored text artifact used in this assembly locator check. Artifacts may be extraction, web excerpt, or transcription.",0
source_bridges.csv,physical_page,integer,One-based physical PDF page containing the bridge passage.,0
source_bridges.csv,normalized_char_start,integer,Zero-based inclusive start of a whitespace-normalized bridge excerpt within its physical page text.,0
source_bridges.csv,normalized_char_end,integer,Zero-based exclusive end of the whitespace-normalized bridge excerpt.,0
source_bridges.csv,quote_sha256,SHA-256,"SHA-256 of the original UTF-8 annotation quotation, without publishing that quotation.",0
source_bridges.csv,normalized_quote_sha256,SHA-256,"SHA-256 after Python re.sub(r""\s+"", "" "", quote).strip(); no case folding or Unicode transliteration.",0
source_bridges.csv,normalized_quote_characters,integer,"Length in Unicode code points of the whitespace-normalized quote, not UTF-8 bytes.",0
source_records.csv,source_record_id,string,Stable source-capture record key; SRC refers to the legacy manifest and ADD to an additional reference if present.,0
source_records.csv,subject_submission_number,string,Authorization under which this source was indexed; not necessarily an identifier written in the source URL.,0
source_records.csv,source_url,URL,Retained FDA-hosted source URL; URL existence is not contemporaneous retrieval or subject-specific relevance validation.,0
source_records.csv,source_document_type,categorical,"Retained document-type designation, such as FDA database HTML or a decision summary.",0
source_records.csv,document_sha256,SHA-256 or blank,"SHA-256 of the archived source document recorded in the legacy manifest; blank means unavailable, not an empty-document hash.",16
source_records.csv,text_sha256,SHA-256 or blank,"Source-record table: actual text hash recorded in legacy manifest. Evidence table: SHA-256 computed from the stored text artifact used in this assembly locator check. Artifacts may be extraction, web excerpt, or transcription.",17
source_records.csv,retrieval_date,timestamp or blank,Retained retrieval date/time; no new web retrieval is implied by assembling the resource.,0
source_records.csv,retrieval_status,categorical,Legacy success/unavailable/failed or an explicit not-retrieved status for an added reference.,0
source_records.csv,record_origin,categorical,LEGACY_SOURCE_MANIFEST or ADDITIONAL_ANNOTATION_REFERENCE; capture records are not unique documents.,0
version_changes.csv,submission_number,string,Stable FDA submission-level authorization identifier; PMA supplement slashes are retained.,0
version_changes.csv,field,categorical,"One of input, output, user, setting, action, component_status, or ai_function_scope. Scope amendments are recorded separately from the six annotation fields.",0
version_changes.csv,baseline_value,string,Retained value before a documented existing amendment.,0
version_changes.csv,current_value,string,Current value after the versioned source or confirmed semantic amendment.,0
version_changes.csv,change_class,categorical,"Retained source-update/scope-amendment class, or AUTHOR_REPORTED_EXPERT_CONFIRMED_AMENDMENT_2026_09_08 for the new confirmed changes.",0
vocabulary.csv,field,categorical,"One of input, output, user, setting, action, component_status.",0
vocabulary.csv,code,categorical,One allowed value for its field in the retained codebook.,0
vocabulary.csv,class,categorical,"POSITIVE_CONTENT_LABEL, FUNCTION_GROUP_STATE or LIMITATION_STATE.",0
vocabulary.csv,multiple_values_allowed,boolean,Whether the field permits more than one positive label; limitation states remain mutually exclusive.,0
