submission_number,device_name,company,regulatory_pathway,date_of_final_decision,medical_specialty,baseline_ai_function_scope,ai_function_scope,baseline_clinical_function_group,clinical_function_group
DEN180005,OsteoDetect,"Imagen Technologies, Inc.",de_novo,2018-05-24,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN190040,Caption Guidance,"Bay Labs, Inc.",de_novo,2020-02-07,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
DEN200011,Masimo SafetyNet,Masimo Corporation,de_novo,2023-03-31,Anesthesiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN200019,Oxehealth Vital Signs,Oxehealth Limited,de_novo,2021-03-26,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN200022,Analytic for Hemodynamic Instability (AHI),Fifth Eye Inc.,de_novo,2021-03-01,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN200030,FEops HEARTguide,FEops NV,de_novo,2021-09-08,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN200038,Gili Pro BioSensor (also known as Gili BioSensor System),ContinUse Biometrics Ltd.,de_novo,2021-04-01,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN200052,KidneyIntelX.dkd,"Renalytix AI, Inc.",de_novo,2023-06-29,Clinical Chemistry,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN200055,GI Genius,"Cosmo Artificial Intelligence - AI, LTD",de_novo,2021-04-09,Gastroenterology-Urology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN200069,Cognoa ASD Diagnosis Aid,"Cognoa, Inc.",de_novo,2021-06-02,Neurology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN200080,Paige Prostate,Paige.AI,de_novo,2021-09-21,Pathology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN210022,PMD-200,Medasense Biometrics Ltd.,de_novo,2023-02-17,Anesthesiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN210035,Genius Digital Diagnostics System with the Genius Cervical AI algorithm,Hologic Inc.,de_novo,2024-01-31,Pathology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN220024,ScanNav Anatomy Peripheral Nerve Block,Intelligent Ultrasound Limited,de_novo,2022-10-18,Anesthesiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN220040,Fibresolve,"Imvaria, Inc",de_novo,2024-01-12,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN220063,Caption Interpretation Automated Ejection Fraction Software,"Caption Health, Inc",de_novo,2023-02-24,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN220066,BrainSee,"Darmiyan, Inc.",de_novo,2024-01-11,Neurology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN230003,Viz HCM,"Viz.ai, Inc.",de_novo,2023-08-03,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN230008,DermaSensor,DermaSensor Inc.,de_novo,2024-01-12,General and Plastic Surgery,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN230023,Rho,16 Bit Inc,de_novo,2024-04-09,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN230027,NaviCam ProScan,"Ankon Technologies co., ltd",de_novo,2023-12-12,Gastroenterology-Urology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
DEN230035,DentalMonitoring,Dental Monitoring SAS,de_novo,2024-05-17,Dental,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,UNCERTAIN,UNCERTAIN
DEN230036,Sepsis ImmunoScore,"Prenosis, Inc.",de_novo,2024-04-02,General Hospital,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",de_novo,2024-02-06,Anesthesiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN230043,Notal Vision Home Optical Coherence Tomography (OCT) System,Notal Vision Inc,de_novo,2024-05-15,Ophthalmic,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN240047,Allix5,"Clairity, Inc.",de_novo,2025-05-30,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN240068,ArteraAI Prostate,Artera Inc.,de_novo,2025-07-31,Pathology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN250007,Delivery Date AI,Ultrasound AI,de_novo,2026-02-11,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
DEN250014,Tyto Insights for Eardrum Bulging Detection,"Tyto Care , Ltd.",de_novo,2026-03-17,Ear Nose & Throat,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K003301,DIFFMASTER OCTAVIA AUTOMATIC HEMATOLOGY ANALYZER,CELLAVISION AB,510k,2001-03-15,Hematology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K033840,CELLAVISION DM96 AUTOMATIC HEMATOLOGY ANALYZER,CELLAVISION AB,510k,2004-02-10,Hematology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K043341,BIOPLEX 2200 ANA SCREEN WITH MEDICAL DECISION SUPPORT SOFTWARE FOR USE WITH BIOPLEX 2200 MULTI-ANALYTE DETECTION SYSTEM,"BIO-RAD LABORATORIES, INC.",510k,2005-10-27,Clinical Toxcicology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K080595,CELLAVISION DM96 WITH THE BODY FLUID APPLICATION,CELLAVISION AB,510k,2008-12-05,Hematology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K080762,"IB NEURO, VERSION 1.0","IMAGING BIOMETRICS, LLC",510k,2008-05-15,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K080896,PATHWORK DIAGNOSTICS TISSUE OF ORIGIN TEST,"PATHWORK DIAGNOSTICS, INC.",510k,2008-07-30,Clinical Toxcicology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K081140,VISENSIA,OBS MEDICAL,510k,2008-07-17,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K082483,QUANTRA,"HOLOGIC, INC.",510k,2008-09-12,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K092116,EASYCELL CELL LOCATOR,MEDICA CORP.,510k,2010-05-12,Hematology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K092967,PATHWORK TISSUE OF ORIGIN TEST KIT-FFPE (ORIGIN TEST KIT-FFPE,PATHWORK DIAGNOSTICS,510k,2010-06-08,Clinical Toxcicology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K102778,CELLAVISION DM1200 WITH THE BODY FLUID APPLICTION,CELLAVISION AB,510k,2011-09-16,Hematology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K111776,DELTAVIEW MODEL 2.1,"RIVERAIN MEDICAL GROUP,LLC",510k,2011-12-28,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K120161,ALPHAPOINT IMAGING SOFTWARE,"RADLOGICS, INC.",510k,2012-04-13,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,UNCERTAIN,UNCERTAIN
K120489,TISSUE OF ORIGIN TEST KIT FFPE,"PATHWORK DIAGNOSTICS, INC.",510k,2012-05-17,Clinical Toxcicology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K120771,UNICEL DXH 800 COULTER CELLULAR ANALYSIS SYSTEM,"BECKMAN COULTER, INC.",510k,2013-03-22,Hematology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K121617,SENSICARDIAC,DIACOUSTIC MEDICAL (PTY),510k,2012-07-27,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K123526,CLEARREAD +CONFIRM,RIVERAIN TECHNOLOGIES,510k,2012-12-27,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K130831,MALDI BIOTYPER CA (MBT-CA) SYSTEM,"BRUKER DALTONICS, INC",510k,2013-11-21,Microbiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K131044,SENSICARDIAC MOBI DIAGNOSTIC HEART MURMUR APPLICATION,DIACOUSTIC MEDICAL DEVICES (PTY) LTD.,510k,2013-09-04,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K133259,YSIO MAX,"SIEMENS MEDICAL SOLUTIONS USA, INC.",510k,2014-01-24,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K133649,HEPATIC VCAR,GE MEDICAL SYSTEMS SCS,510k,2014-04-22,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K141069,Lung Density Analysis,IMBIO LLC,510k,2014-09-17,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K141480,CVI42,CIRCLE CARDIOVASCULAR IMAGING INC,510k,2014-08-22,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K141922,IRIS INTELLIGENT RETINAL IMAGING SYSTEM,"INTELLIGENT RETINAL IMAGING SYSTEMS, LLC",510k,2015-02-27,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K142037,QUANTRA,"HOLOGIC, INC.",510k,2014-10-10,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K142512,Personalized Physiology Analytics Engine software,"VGBio, Inc (DBA PhysIQ)",510k,2015-06-11,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K142918,EndoTool SubQ,MONARCH MEDICAL TECHNOLOGIES,510k,2015-04-24,Anesthesiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K143643,Brainscope Ahead 200,"BRAINSCOPE COMPANY, INC.",510k,2015-05-15,Neurology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K150102,SnoreSounds,"APPIAN MEDICAL, INC.",510k,2015-11-05,Anesthesiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K150817,Dario Blood Glucose Monitoring System,LabStyle Innovations Ltd.,510k,2015-12-21,Clinical Chemistry,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K152733,FFRct,"HEARTFLOW, INC.",510k,2016-01-13,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K153351,Quantib Brain 1,QUANTIB BV,510k,2016-06-17,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K153427,Volpara Imaging Software,Matakina Technology LTD,510k,2016-01-07,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K160016,Steth IO,"STRATOSCIENTIFIC, INC.",510k,2016-07-15,Cardiovascular,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K160088,Cydar EV,Cydar Ltd.,510k,2016-07-07,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K160338,Triton System,GAUSS SURGICAL INC.,510k,2016-08-05,General Hospital,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K160401,Tyto Stethoscope,Tyto Care Ltd.,510k,2016-10-19,Cardiovascular,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K161068,Ahead 300,BRAINSCOPE COMPANY INC,510k,2016-09-22,Neurology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K161148,icobrain,Icometrix,510k,2016-08-09,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K161201,ClearRead CT,"RIVERAIN TECHNOLOGIES, LLC",510k,2016-09-09,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K161322,CT CoPilot,"ZEPMED, LLC.",510k,2016-12-07,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K161382,LVivo Software Application,"DIACARDIO, LTD.",510k,2016-07-28,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K161625,PixelShine,ALGOMEDICA,510k,2016-09-19,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K161772,FFRct,"HEARTFLOW, INC.",510k,2016-08-24,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K161834,One Drop Blood Glucose Monitoring System,"AgaMatrix, Inc.",510k,2016-11-30,Clinical Chemistry,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K161959,ClearView cCAD,ClearView Diagnostics Inc.,510k,2016-12-28,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K162830,SIS Software,"Surgical Information Sciences, Inc.",510k,2017-02-14,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K162855,Reveal LINQ,"Medtronic, Inc.",510k,2017-02-23,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K163013,Quantib Brain 1.2,Quantib BV,510k,2017-01-06,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K163138,Clarius Ultrasound System,Clarius Mobile Health Corp.,510k,2016-11-30,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K163253,Arterys Cardio DL,ARTERYS INC.,510k,2017-01-05,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K163339,SPECTRALMD DEEPVIEW WOUND IMAGING SYSTEM 2.0,"SPECTRALMD, INC.",510k,2017-08-17,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K163622,Lung Vision,BODY VISION MEDICAL LTD.,510k,2017-05-11,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K163623,Quantra,"HOLOGIC, INC.",510k,2017-10-20,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K163665,MATRx plus,Zephyr Sleep Technologies,510k,2017-05-05,Anesthesiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K163694,"Rooti Rx ECG Event Recorder, Rooti Link APP Software",Rooti Labs Ltd.,510k,2017-11-07,Cardiovascular,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K170069,AmCAD-UV,AmCad BioMed Corporation,510k,2017-04-26,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K170172,UNiD Spine Analyzer,MEDICREA INTERNATIONAL,510k,2017-05-24,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K170250,SmartTarget,"SmartTarget, Ltd.",510k,2017-06-07,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K170540,DM-Density,"Densitas, Inc.",510k,2018-02-23,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K170568,CardioLogs ECG Analysis Platform,Cardiologs Technologies,510k,2017-06-26,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K170747,syngo Application Software,"Siemens Medical Solutions, USA, Inc.",510k,2017-06-09,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K170981,NeuroQuant,"CorTechs Labs, Inc",510k,2017-09-07,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K171056,WAVE Clinical Platform,"Excel Medical Electronics, LLC",510k,2018-01-04,Cardiovascular,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K171122,CEREC Ortho Software,Dentsply Sirona,510k,2018-01-11,Dental,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K171315,Advanced RBC Application,Cella Vision AB,510k,2017-08-01,Hematology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K171328,cNeuro cMRI,Combinostics Oy,510k,2018-01-08,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K171936,Peerbridge Cor(TM) System,Peerbridge Health INc.,510k,2017-09-27,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K172122,SOZO,ImpediMed Limited,510k,2017-08-11,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K172356,BladderScan Prime PLUS System,Verathon Incorporated,510k,2017-09-15,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
