annotation_id,field,codes,other_note_en,other_note_status,note_original_language,note_processing,note_original_sha256,retained_field_record_number,retained_input_sha256,retained_source_column
K142037:setting,setting,OTHER,Mammographic breast-composition assessment; no screening/diagnostic indication inferred.,SINGLE_OTHER_EXISTING_FIELD_REASON,en_or_latin,RETAINED_ENGLISH_OR_LATIN_TEXT,43866aba15a4875fc7fd83cac63c99b51590c619aa8fc656252a5254973d634d,2278,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K142512:setting,setting,HOME_OR_CONSUMER;MONITORING;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,214,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K142918:setting,setting,MONITORING;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,28,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K143643:setting,setting,DIAGNOSTIC_INTERPRETATION;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,1588,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K153427:action,action,OTHER,An MQSA physician makes the final breast density category assessment; explicitly not a diagnostic aid.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,f4696d35af2164735bbb97cfe20fdf5d1eef6c48e15a4ab49c10b60f32274231,2291,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K160088:action,action,OTHER,"Intraoperatively guides personnel in positioning guidewires, catheters, etc.; not treatment planning in advance or automatic control.",SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,5052436aab81e477e52c4d5d3f841bdf3ed52ffbe73c604347787efb02c2487c,2297,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K161068:setting,setting,DIAGNOSTIC_INTERPRETATION;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,1594,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K161834:input,input,OTHER,ELECTROCHEMICAL_ASSAY_SIGNAL: reaction current from the test strip; the original device sample is fingertip capillary whole blood.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,8f253f8830a56dda514fe1e13a0f16b8e38e456e551e16a8cdb9b8e12c254113,1057,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K163339:action,action,OTHER,Assessment of perfusion in healthy/injured skin; no subsequent treatment or prediction of wound healing is specified.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,c62645f38ba7ad44510ee7ea36b4bda015ca0b72e43c3f1e0a3a2a6190040301,251,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K163339:output,output,MEASUREMENT_OR_QUANTIFICATION;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,248,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K163339:setting,setting,OTHER,"Healthcare/hospital facilities; inpatient/outpatient settings are not distinguished, and an intraoperative setting is not explicitly stated.",SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,01e1046f2c8b9509d94bcc634f4e2fddc7a3e36472c16dc15cfcab3ca765355e,250,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K163622:action,action,TREATMENT_OR_PROCEDURE_PLANNING;OTHER,"Real-time navigation, not autonomous control.",EXPLICIT_OTHER_ASSIGNMENT_IN_RETAINED_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,8d1f97896ee5c4b17f55eaf1eb3990f33ce0994fc4a77d1c96e1ac45715e7fb8,2363,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K163623:action,action,WORKFLOW_OR_DOCUMENTATION;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2369,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K163665:setting,setting,HOME_OR_CONSUMER;OTHER;DIAGNOSTIC_INTERPRETATION,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,40,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K170069:action,action,OTHER,The user assesses vascular pulsatility; treatment decisions are not inferred.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,4d6e85b6027a31ff499787cf2e3c2a5e992dfcea24d18939a00fbdb56a9f7cbf,2375,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K170069:output,output,CLASSIFICATION_OR_DIAGNOSIS;MEASUREMENT_OR_QUANTIFICATION;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2372,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K170250:action,action,TREATMENT_OR_PROCEDURE_PLANNING;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2387,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K170250:setting,setting,PROCEDURAL_OR_OPERATING_ROOM;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2386,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K170540:action,action,OTHER;WORKFLOW_OR_DOCUMENTATION,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2393,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K170747:action,action,OTHER,"Fusion images support manual device positioning / real-time guidance, not automatic device control.",SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,59040e61905c52b645dc3f138830b398029b2f8d43755e2b7f1ac73836097830,2399,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K170981:setting,setting,DIAGNOSTIC_INTERPRETATION;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2404,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K170981:user,user,RADIOLOGIST;OTHER_PHYSICIAN;OTHER_CLINICIAN;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2403,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K171328:action,action,OTHER,The user reviews segmentation/quantification; specific diagnostic/treatment decisions are not explicitly stated.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,07aa486a15ad24da3c422efcedf2d430f0810fb9cbe1432581cf89d84ba14daf,2411,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K171328:setting,setting,OTHER,An office-like environment with a computer; not automatically classified as outpatient/inpatient.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,bb9304355468aac1fe994eb612ae4556cc0dd608ecc74ea018691cfc1650e10e,2410,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K171936:setting,setting,MONITORING;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,274,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K172356:action,action,OTHER,Noninvasive measurement of bladder urine volume; subsequent actions such as catheterization are not stated.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,5c9ab98cf0da22ff759728e9bf79633b31be55d1c610fad41cfe8aa1584e0a17,2417,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K172983:action,action,INTERPRETATION_OR_DIAGNOSIS;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2435,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K173420:setting,setting,PROCEDURAL_OR_OPERATING_ROOM;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2440,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K173420:user,user,OTHER_PHYSICIAN;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2439,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K173444:action,action,OTHER,Personnel evaluate the ROI and its quantitative changes; treatment selection/radiotherapy planning is not inferred.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,de7e875ed0ec2e976168af952c3c68db67e49624f7d5d8b2e5776180efb4e8ab,2447,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K173444:setting,setting,OTHER,A medical imaging evaluation context; the specific diagnostic/monitoring location is not stated.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,54d06aad1cc03c534110c26ca1ce0b7e1c5a884e59083e437418a3a13d9df29c,2446,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K173444:user,user,RADIOLOGIST;OTHER_PHYSICIAN;TECHNOLOGIST_OR_OPERATOR;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,2445,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K173574:setting,setting,OTHER,A density assessment context within mammography; 'not a diagnostic aid' is not rewritten as a disease diagnosis use.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,4a4ece5e990056e79fc8b7cdebf9fa568fa25302e4da50077bb034916fae301a,2458,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K180343:setting,setting,HOME_OR_CONSUMER;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,1432,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K181288:setting,setting,LABORATORY;OTHER,,MULTILABEL_OTHER_ATTRIBUTION_NOT_ISOLATED,,NO_OTHER_SPECIFIC_NOTE_ADDED,,1438,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K181685:output,output,OTHER,AUTOMATIC_VIEW_RECOGNITION_AND_SELECTION; not a direct patient diagnosis or EF measurement output.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,631ac726b5d7b56e8ed71da0b4bd220889ea76abb84bba362823f6bf1da1a4fa,2564,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K181685:setting,setting,OTHER,A view-selection workflow for echocardiographic quantification; the system's full set of anatomical uses is not attributed to the DNN.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,0be9a258317815017f9fe36aa7cb1108bfa5c276d1901507ed2157c031d5a5f2,2566,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K181916:setting,setting,OTHER,The patient's routine personal insulin management; home is not explicitly stated as the physical location.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,a813e50ad185d6d363e64dc99f51ef1f05a0f7ea149fc9e8d06ce13afda83bf7,46,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K182112:setting,setting,OTHER,Upper-limb prosthesis fitting and use; no restriction to home/clinic is specified.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,0b8ffe43324bb9a900dc4ccb1060b6d99864925df1c9d0a6c1680668f7d5b19f,1618,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K182181:output,output,DETECTION_OR_ALERT;MEASUREMENT_OR_QUANTIFICATION;OTHER,ARTIFACT_REDUCED_EEG_WAVEFORM,EXPLICIT_OTHER_ASSIGNMENT_IN_RETAINED_REASON,en_or_latin,RETAINED_ENGLISH_OR_LATIN_TEXT,3d6ef5b40f004bd64b0bf303188707c678769b112b87c4be19f942f005f6d353,1622,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
K182310:setting,setting,OTHER,Breast composition/density assessment; the IFU explicitly states that it is not an interpretive or diagnostic aid.,SINGLE_OTHER_EXISTING_FIELD_REASON,zh,AI_ASSISTED_ENGLISH_TRANSLATION,04fa2fab395022949e982ad006ae8c29b76ce62efd844aa5a3f19803f4d3f93e,2614,89154f7f437bca8cdeffc5782db7209afb2d8fa7cc79b98cb29c9137e8840ac8,decision_reason
