annotation_id,submission_number,field,baseline_codes,codes,annotation_state,source_limited,limitation_layer
DEN160044:user,DEN160044,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN160044:setting,DEN160044,setting,PROCEDURAL_OR_OPERATING_ROOM;MONITORING,PROCEDURAL_OR_OPERATING_ROOM;MONITORING,CODED,false,NONE
DEN160044:action,DEN160044,action,MONITORING_OR_FOLLOW_UP;INTERPRETATION_OR_DIAGNOSIS,MONITORING_OR_FOLLOW_UP;INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN160044:component_status,DEN160044,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN170022:input,DEN170022,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN170022:output,DEN170022,output,MEASUREMENT_OR_QUANTIFICATION;OTHER,MEASUREMENT_OR_QUANTIFICATION;OTHER,CODED,false,NONE
DEN170022:user,DEN170022,user,RADIOLOGIST,RADIOLOGIST,CODED,false,NONE
DEN170022:setting,DEN170022,setting,SCREENING;DIAGNOSTIC_INTERPRETATION,SCREENING;DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
DEN170022:action,DEN170022,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN170022:component_status,DEN170022,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN170043:input,DEN170043,input,PHYSIOLOGICAL_SIGNAL;CLINICAL_TABULAR_OR_TEXT;DEVICE_TELEMETRY_OR_OPERATIONAL,PHYSIOLOGICAL_SIGNAL;CLINICAL_TABULAR_OR_TEXT;DEVICE_TELEMETRY_OR_OPERATIONAL,CODED,false,NONE
DEN170043:output,DEN170043,output,RECOMMENDATION_OR_PLANNING,RECOMMENDATION_OR_PLANNING,CODED,false,NONE
DEN170043:user,DEN170043,user,OTHER_PHYSICIAN;OTHER_CLINICIAN,OTHER_PHYSICIAN;OTHER_CLINICIAN,CODED,false,NONE
DEN170043:setting,DEN170043,setting,MONITORING;OTHER,MONITORING;OTHER,CODED,false,NONE
DEN170043:action,DEN170043,action,THERAPY_DOSE_OR_DEVICE_CONTROL;TREATMENT_OR_PROCEDURE_PLANNING,THERAPY_DOSE_OR_DEVICE_CONTROL;TREATMENT_OR_PROCEDURE_PLANNING,CODED,false,NONE
DEN170043:component_status,DEN170043,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN170073:input,DEN170073,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN170073:output,DEN170073,output,DETECTION_OR_ALERT,DETECTION_OR_ALERT,CODED,false,NONE
DEN170073:user,DEN170073,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
DEN170073:setting,DEN170073,setting,ACUTE_TRIAGE_OR_EMERGENCY,ACUTE_TRIAGE_OR_EMERGENCY,CODED,false,NONE
DEN170073:action,DEN170073,action,TRIAGE_OR_PRIORITIZATION;REFERRAL_OR_ESCALATION,TRIAGE_OR_PRIORITIZATION;REFERRAL_OR_ESCALATION,CODED,false,NONE
DEN170073:component_status,DEN170073,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN170090:input,DEN170090,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN170090:output,DEN170090,output,RECOMMENDATION_OR_PLANNING;CONTROL_OR_AUTOMATION,RECOMMENDATION_OR_PLANNING;CONTROL_OR_AUTOMATION,CODED,false,NONE
DEN170090:user,DEN170090,user,OTHER_CLINICIAN;PATIENT_OR_CAREGIVER,OTHER_CLINICIAN;PATIENT_OR_CAREGIVER,CODED,false,NONE
DEN170090:setting,DEN170090,setting,HOME_OR_CONSUMER;MONITORING,HOME_OR_CONSUMER;MONITORING,CODED,false,NONE
DEN170090:action,DEN170090,action,TREATMENT_OR_PROCEDURE_PLANNING;THERAPY_DOSE_OR_DEVICE_CONTROL,TREATMENT_OR_PROCEDURE_PLANNING;THERAPY_DOSE_OR_DEVICE_CONTROL,CODED,false,NONE
DEN170090:component_status,DEN170090,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,FUNCTION_GROUP_UNRESOLVED
DEN170091:input,DEN170091,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN170091:output,DEN170091,output,MEASUREMENT_OR_QUANTIFICATION;CLASSIFICATION_OR_DIAGNOSIS,MEASUREMENT_OR_QUANTIFICATION;CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN170091:user,DEN170091,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
DEN170091:setting,DEN170091,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
DEN170091:action,DEN170091,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN170091:component_status,DEN170091,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN180001:input,DEN180001,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN180001:output,DEN180001,output,CLASSIFICATION_OR_DIAGNOSIS,CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN180001:user,DEN180001,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN180001:setting,DEN180001,setting,SCREENING,SCREENING,CODED,false,NONE
DEN180001:action,DEN180001,action,REFERRAL_OR_ESCALATION;MONITORING_OR_FOLLOW_UP,REFERRAL_OR_ESCALATION;MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN180001:component_status,DEN180001,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN180005:input,DEN180005,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN180005:output,DEN180005,output,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION,CODED,false,NONE
DEN180005:user,DEN180005,user,RADIOLOGIST;OTHER_CLINICIAN,RADIOLOGIST;OTHER_CLINICIAN,CODED,false,NONE
DEN180005:setting,DEN180005,setting,ACUTE_TRIAGE_OR_EMERGENCY;DIAGNOSTIC_INTERPRETATION,ACUTE_TRIAGE_OR_EMERGENCY;DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
DEN180005:action,DEN180005,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN180005:component_status,DEN180005,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN190040:input,DEN190040,input,AUDIO_OR_VIDEO,AUDIO_OR_VIDEO,CODED,false,NONE
DEN190040:output,DEN190040,output,RECOMMENDATION_OR_PLANNING;CONTROL_OR_AUTOMATION;OTHER,RECOMMENDATION_OR_PLANNING;CONTROL_OR_AUTOMATION;OTHER,CODED,false,NONE
DEN190040:user,DEN190040,user,OTHER_CLINICIAN;TECHNOLOGIST_OR_OPERATOR,OTHER_CLINICIAN;TECHNOLOGIST_OR_OPERATOR,CODED,false,NONE
DEN190040:setting,DEN190040,setting,OTHER,OTHER,CODED,false,NONE
DEN190040:action,DEN190040,action,WORKFLOW_OR_DOCUMENTATION,WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
DEN190040:component_status,DEN190040,component_status,MULTIPLE,MULTIPLE,CODED,false,NONE
DEN200011:input,DEN200011,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN200011:output,DEN200011,output,DETECTION_OR_ALERT,DETECTION_OR_ALERT,CODED,false,NONE
DEN200011:user,DEN200011,user,PATIENT_OR_CAREGIVER;OTHER_CLINICIAN,PATIENT_OR_CAREGIVER;OTHER_CLINICIAN,CODED,false,NONE
DEN200011:setting,DEN200011,setting,HOME_OR_CONSUMER;OTHER;MONITORING,HOME_OR_CONSUMER;OTHER;MONITORING,CODED,false,NONE
DEN200011:action,DEN200011,action,REFERRAL_OR_ESCALATION;MONITORING_OR_FOLLOW_UP,REFERRAL_OR_ESCALATION;MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN200011:component_status,DEN200011,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN200019:input,DEN200019,input,AUDIO_OR_VIDEO,AUDIO_OR_VIDEO,CODED,false,NONE
DEN200019:output,DEN200019,output,MEASUREMENT_OR_QUANTIFICATION,MEASUREMENT_OR_QUANTIFICATION,CODED,false,NONE
DEN200019:user,DEN200019,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN200019:setting,DEN200019,setting,MONITORING;OTHER,MONITORING;OTHER,CODED,false,NONE
DEN200019:action,DEN200019,action,MONITORING_OR_FOLLOW_UP,MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN200019:component_status,DEN200019,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN200022:input,DEN200022,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN200022:output,DEN200022,output,CLASSIFICATION_OR_DIAGNOSIS,CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN200022:user,DEN200022,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN200022:setting,DEN200022,setting,INPATIENT;MONITORING,INPATIENT;MONITORING,CODED,false,NONE
DEN200022:action,DEN200022,action,MONITORING_OR_FOLLOW_UP,MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN200022:component_status,DEN200022,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN200030:input,DEN200030,input,OTHER,OTHER,CODED,false,NONE
DEN200030:output,DEN200030,output,OTHER,OTHER,CODED,false,NONE
DEN200030:user,DEN200030,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN200030:setting,DEN200030,setting,PROCEDURAL_OR_OPERATING_ROOM,PROCEDURAL_OR_OPERATING_ROOM,CODED,false,NONE
DEN200030:action,DEN200030,action,TREATMENT_OR_PROCEDURE_PLANNING,TREATMENT_OR_PROCEDURE_PLANNING,CODED,false,NONE
DEN200030:component_status,DEN200030,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN200038:input,DEN200038,input,OTHER,OTHER,CODED,false,NONE
DEN200038:output,DEN200038,output,MEASUREMENT_OR_QUANTIFICATION,MEASUREMENT_OR_QUANTIFICATION,CODED,false,NONE
DEN200038:user,DEN200038,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN200038:setting,DEN200038,setting,OUTPATIENT;MONITORING;OTHER,OUTPATIENT;MONITORING;OTHER,CODED,false,NONE
DEN200038:action,DEN200038,action,MONITORING_OR_FOLLOW_UP,MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN200038:component_status,DEN200038,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN200052:input,DEN200052,input,CLINICAL_TABULAR_OR_TEXT,CLINICAL_TABULAR_OR_TEXT,CODED,false,NONE
DEN200052:output,DEN200052,output,RISK_SCORE_OR_PREDICTION,RISK_SCORE_OR_PREDICTION,CODED,false,NONE
DEN200052:user,DEN200052,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
DEN200052:setting,DEN200052,setting,LABORATORY;OTHER,LABORATORY;OTHER,CODED,false,NONE
DEN200052:action,DEN200052,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN200052:component_status,DEN200052,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN200055:input,DEN200055,input,AUDIO_OR_VIDEO,AUDIO_OR_VIDEO,CODED,false,NONE
DEN200055:output,DEN200055,output,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION,CODED,false,NONE
DEN200055:user,DEN200055,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
DEN200055:setting,DEN200055,setting,SCREENING;PROCEDURAL_OR_OPERATING_ROOM,SCREENING;PROCEDURAL_OR_OPERATING_ROOM,CODED,false,NONE
DEN200055:action,DEN200055,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN200055:component_status,DEN200055,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN200069:input,DEN200069,input,CLINICAL_TABULAR_OR_TEXT,CLINICAL_TABULAR_OR_TEXT,CODED,false,NONE
DEN200069:output,DEN200069,output,CLASSIFICATION_OR_DIAGNOSIS,CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN200069:user,DEN200069,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN200069:setting,DEN200069,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
DEN200069:action,DEN200069,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN200069:component_status,DEN200069,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN200080:input,DEN200080,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN200080:output,DEN200080,output,DETECTION_OR_ALERT;CLASSIFICATION_OR_DIAGNOSIS;SEGMENTATION_OR_LOCALIZATION,DETECTION_OR_ALERT;CLASSIFICATION_OR_DIAGNOSIS;SEGMENTATION_OR_LOCALIZATION,CODED,false,NONE
DEN200080:user,DEN200080,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
DEN200080:setting,DEN200080,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
DEN200080:action,DEN200080,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN200080:component_status,DEN200080,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN210022:input,DEN210022,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN210022:output,DEN210022,output,MEASUREMENT_OR_QUANTIFICATION,MEASUREMENT_OR_QUANTIFICATION,CODED,false,NONE
DEN210022:user,DEN210022,user,OTHER_PHYSICIAN;OTHER_CLINICIAN,OTHER_PHYSICIAN;OTHER_CLINICIAN,CODED,false,NONE
DEN210022:setting,DEN210022,setting,PROCEDURAL_OR_OPERATING_ROOM;MONITORING,PROCEDURAL_OR_OPERATING_ROOM;MONITORING,CODED,false,NONE
DEN210022:action,DEN210022,action,THERAPY_DOSE_OR_DEVICE_CONTROL;MONITORING_OR_FOLLOW_UP,THERAPY_DOSE_OR_DEVICE_CONTROL;MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN210022:component_status,DEN210022,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN210035:input,DEN210035,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN210035:output,DEN210035,output,SEGMENTATION_OR_LOCALIZATION,SEGMENTATION_OR_LOCALIZATION,CODED,false,NONE
DEN210035:user,DEN210035,user,OTHER_PHYSICIAN;LABORATORY_PROFESSIONAL,OTHER_PHYSICIAN;LABORATORY_PROFESSIONAL,CODED,false,NONE
DEN210035:setting,DEN210035,setting,SCREENING,SCREENING,CODED,false,NONE
DEN210035:action,DEN210035,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN210035:component_status,DEN210035,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN220024:input,DEN220024,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN220024:output,DEN220024,output,SEGMENTATION_OR_LOCALIZATION,SEGMENTATION_OR_LOCALIZATION,CODED,false,NONE
DEN220024:user,DEN220024,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN220024:setting,DEN220024,setting,PROCEDURAL_OR_OPERATING_ROOM,PROCEDURAL_OR_OPERATING_ROOM,CODED,false,NONE
DEN220024:action,DEN220024,action,TREATMENT_OR_PROCEDURE_PLANNING,TREATMENT_OR_PROCEDURE_PLANNING,CODED,false,NONE
DEN220024:component_status,DEN220024,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN220040:input,DEN220040,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN220040:output,DEN220040,output,CLASSIFICATION_OR_DIAGNOSIS,CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN220040:user,DEN220040,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN220040:setting,DEN220040,setting,DIAGNOSTIC_INTERPRETATION;OTHER,DIAGNOSTIC_INTERPRETATION;OTHER,CODED,false,NONE
DEN220040:action,DEN220040,action,REFERRAL_OR_ESCALATION;INTERPRETATION_OR_DIAGNOSIS,REFERRAL_OR_ESCALATION;INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN220040:component_status,DEN220040,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN220063:input,DEN220063,input,AUDIO_OR_VIDEO,AUDIO_OR_VIDEO,CODED,false,NONE
DEN220063:output,DEN220063,output,MEASUREMENT_OR_QUANTIFICATION;CLASSIFICATION_OR_DIAGNOSIS,MEASUREMENT_OR_QUANTIFICATION;CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN220063:user,DEN220063,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
DEN220063:setting,DEN220063,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
DEN220063:action,DEN220063,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN220063:component_status,DEN220063,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN220066:input,DEN220066,input,MULTIMODAL,MULTIMODAL,CODED,false,NONE
DEN220066:output,DEN220066,output,RISK_SCORE_OR_PREDICTION,RISK_SCORE_OR_PREDICTION,CODED,false,NONE
DEN220066:user,DEN220066,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN220066:setting,DEN220066,setting,OTHER,OTHER,CODED,false,NONE
DEN220066:action,DEN220066,action,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN220066:component_status,DEN220066,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN230003:input,DEN230003,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN230003:output,DEN230003,output,DETECTION_OR_ALERT,DETECTION_OR_ALERT,CODED,false,NONE
DEN230003:user,DEN230003,user,NOT_STATED,NOT_STATED,NOT_STATED,true,FIELD_NOT_STATED
DEN230003:setting,DEN230003,setting,OTHER,OTHER,CODED,false,NONE
DEN230003:action,DEN230003,action,MONITORING_OR_FOLLOW_UP,MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN230003:component_status,DEN230003,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN230008:input,DEN230008,input,OTHER,OTHER,CODED,false,NONE
DEN230008:output,DEN230008,output,CLASSIFICATION_OR_DIAGNOSIS;RISK_SCORE_OR_PREDICTION,CLASSIFICATION_OR_DIAGNOSIS;RISK_SCORE_OR_PREDICTION,CODED,false,NONE
DEN230008:user,DEN230008,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
DEN230008:setting,DEN230008,setting,DIAGNOSTIC_INTERPRETATION;OTHER,DIAGNOSTIC_INTERPRETATION;OTHER,CODED,false,NONE
DEN230008:action,DEN230008,action,REFERRAL_OR_ESCALATION,REFERRAL_OR_ESCALATION,CODED,false,NONE
DEN230008:component_status,DEN230008,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN230023:input,DEN230023,input,MULTIMODAL,MULTIMODAL,CODED,false,NONE
DEN230023:output,DEN230023,output,DETECTION_OR_ALERT,DETECTION_OR_ALERT,CODED,false,NONE
DEN230023:user,DEN230023,user,RADIOLOGIST;OTHER_PHYSICIAN,RADIOLOGIST;OTHER_PHYSICIAN,CODED,false,NONE
DEN230023:setting,DEN230023,setting,SCREENING,SCREENING,CODED,false,NONE
DEN230023:action,DEN230023,action,REFERRAL_OR_ESCALATION;INTERPRETATION_OR_DIAGNOSIS,REFERRAL_OR_ESCALATION;INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN230023:component_status,DEN230023,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN230027:input,DEN230027,input,AUDIO_OR_VIDEO,AUDIO_OR_VIDEO,CODED,false,NONE
DEN230027:output,DEN230027,output,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION,CODED,false,NONE
DEN230027:user,DEN230027,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN230027:setting,DEN230027,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
DEN230027:action,DEN230027,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN230027:component_status,DEN230027,component_status,MULTIPLE,MULTIPLE,CODED,false,NONE
DEN230035:input,DEN230035,input,MEDICAL_IMAGE;OTHER,MEDICAL_IMAGE;OTHER,CODED,false,NONE
DEN230035:output,DEN230035,output,DETECTION_OR_ALERT,DETECTION_OR_ALERT,CODED,false,NONE
DEN230035:user,DEN230035,user,OTHER_CLINICIAN;PATIENT_OR_CAREGIVER,OTHER_CLINICIAN;PATIENT_OR_CAREGIVER,CODED,false,NONE
DEN230035:setting,DEN230035,setting,HOME_OR_CONSUMER;MONITORING;OTHER,HOME_OR_CONSUMER;MONITORING;OTHER,CODED,false,NONE
DEN230035:action,DEN230035,action,MONITORING_OR_FOLLOW_UP;INTERPRETATION_OR_DIAGNOSIS,MONITORING_OR_FOLLOW_UP;INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN230035:component_status,DEN230035,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,FUNCTION_GROUP_UNRESOLVED
DEN230036:input,DEN230036,input,CLINICAL_TABULAR_OR_TEXT,CLINICAL_TABULAR_OR_TEXT,CODED,false,NONE
DEN230036:output,DEN230036,output,RISK_SCORE_OR_PREDICTION,RISK_SCORE_OR_PREDICTION,CODED,false,NONE
DEN230036:user,DEN230036,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN230036:setting,DEN230036,setting,ACUTE_TRIAGE_OR_EMERGENCY;INPATIENT,ACUTE_TRIAGE_OR_EMERGENCY;INPATIENT,CODED,false,NONE
DEN230036:action,DEN230036,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
DEN230036:component_status,DEN230036,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN230041:input,DEN230041,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
DEN230041:output,DEN230041,output,DETECTION_OR_ALERT;CLASSIFICATION_OR_DIAGNOSIS,DETECTION_OR_ALERT;CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
DEN230041:user,DEN230041,user,PATIENT_OR_CAREGIVER,PATIENT_OR_CAREGIVER,CODED,false,NONE
DEN230041:setting,DEN230041,setting,HOME_OR_CONSUMER;MONITORING,HOME_OR_CONSUMER;MONITORING,CODED,false,NONE
DEN230041:action,DEN230041,action,REFERRAL_OR_ESCALATION,REFERRAL_OR_ESCALATION,CODED,false,NONE
DEN230041:component_status,DEN230041,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN230043:input,DEN230043,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN230043:output,DEN230043,output,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION;DETECTION_OR_ALERT,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION;DETECTION_OR_ALERT,CODED,false,NONE
DEN230043:user,DEN230043,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
DEN230043:setting,DEN230043,setting,HOME_OR_CONSUMER;MONITORING,HOME_OR_CONSUMER;MONITORING,CODED,false,NONE
DEN230043:action,DEN230043,action,MONITORING_OR_FOLLOW_UP,MONITORING_OR_FOLLOW_UP,CODED,false,NONE
DEN230043:component_status,DEN230043,component_status,SINGLE,SINGLE,CODED,false,NONE
DEN240047:input,DEN240047,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
DEN240047:output,DEN240047,output,RISK_SCORE_OR_PREDICTION,RISK_SCORE_OR_PREDICTION,CODED,false,NONE
